asset_id,asset_type,vulnerability_id,severity,threat_likelihood,business_impact,last_detected,owner,normalized_risk,confidence
UNKNOWN,windows_event,N/A,1,1,1,2026-06-14 15:16:01+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-14 15:16:02+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-14 15:16:02+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 02:04:59+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 02:04:59+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 02:04:59+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 02:04:59+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 02:04:59+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 02:04:59+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 02:04:59+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 02:04:59+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 02:04:59+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 02:04:59+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 04:06:18+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 04:06:19+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 04:06:20+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 04:12:42+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 04:12:43+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 12:12:34+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 12:12:34+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 12:12:34+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 12:12:34+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 12:12:34+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 12:12:34+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 12:12:34+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 12:12:34+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 12:12:34+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 12:12:34+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 12:12:34+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 12:12:34+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 12:12:34+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 12:12:34+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 12:12:34+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 12:12:34+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 12:12:34+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 12:12:34+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 12:12:34+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 12:12:34+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 12:13:19+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 12:13:19+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 12:13:20+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 12:13:20+00:00,UNKNOWN,0.0,0.3333333333333333
UNKNOWN,windows_event,N/A,1,1,1,2026-06-15 14:53:32+00:00,UNKNOWN,0.0,0.3333333333333333
